ano_orcamento;cod_centro;desc_centro;grupo_centro
2019;2019-30310010108;GESTAO DA EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2019;2019-30310010109;PROJETO GERACAO FOTOVOLTAICA;GESTÃO DA EDUCAÇÃO
2019;2019-30310010111;MIDIAS EP - SENAI;GESTÃO DA EDUCAÇÃO
2019;2019-30310010112;REFORMA DA UNIDADE DE CORUMBA;GESTÃO DA EDUCAÇÃO
2019;2019-30310010113;ACOES REGIONAIS - EDUCACAO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010114;PROMOCAO DA EDU PARA IND COMPETITIVA;GESTÃO DA EDUCAÇÃO
2019;2019-30310010116;GESTAO DAS ACOES DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010118;AMPLIACAO ESTACIONAMENTO FATEC CG;GESTÃO DA EDUCAÇÃO
2019;2019-30310010119;REDE DE BIBLIOTECAS;GESTÃO DA EDUCAÇÃO
2019;2019-30310010120;EDUCACAO BASICA;GESTÃO DA EDUCAÇÃO
2019;2019-30310010121;EDUCACAO CONTINUADA;GESTÃO DA EDUCAÇÃO
2019;2019-30310010123;REFORMA DO CISS/MARACAJU;GESTÃO DA EDUCAÇÃO
2019;2019-30310010124;REFORMA DO CISS/AP DO TABOADO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010125;REFORMA DO CISS/NAVIRAI;GESTÃO DA EDUCAÇÃO
2019;2019-30310010126;MODERNIZACAO AUDITORIO FIEMS;GESTÃO DA EDUCAÇÃO
2019;2019-30310010127;REFORMA NA UNIDADE SESI EM DOURADOS MS;GESTÃO DA EDUCAÇÃO
2019;2019-30310010128;ASSESSORIA DE ENSINO SUPERIOR;GESTÃO DA EDUCAÇÃO
2019;2019-30310010129;EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2019;2019-30310010130;GERENCIA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010131;ASSESSORIA DE EDUCACAO A DISTANCIA;GESTÃO DA EDUCAÇÃO
2019;2019-30310010132;GERENCIA DE STARTUP;GESTÃO DA EDUCAÇÃO
2019;2019-30310010133;PRODUTOS EDUCACAO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010134;MELHORIA DO AMBIENTE DE TRABALHO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010138;NADANDO COM GUSTAVO BORGES;GESTÃO DA EDUCAÇÃO
2019;2019-30310010141;PLANO DE MODERNIZACAO TECNOL 2018-2021;GESTÃO DA EDUCAÇÃO
2019;2019-30310010142;GESTAO JUROS AMORTIZACOES BNDES;GESTÃO DA EDUCAÇÃO
2019;2019-30310010143;MELHORIA DO AMBIENTE DE TRABALHO;GESTÃO DA EDUCAÇÃO
2019;2019-30310010190;ACOES ESTRATEGICAS EDUCACAO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010102;ASSES POL EDUCACIONAIS E NORMATIZACAO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010104;NUCLEO DE ACOES MOVEIS;GESTÃO DA EDUCAÇÃO
2020;2020-30310010105;EVENTOS ESCOLARES;GESTÃO DA EDUCAÇÃO
2020;2020-30310010106;STARTUP SESI;GESTÃO DA EDUCAÇÃO
2020;2020-30310010107;GESTAO ADMINISTRATIVA OPERACIONAL;GESTÃO DA EDUCAÇÃO
2020;2020-30310010108;GESTAO DA EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2020;2020-30310010109;PROJETO GERACAO FOTOVOLTAICA;GESTÃO DA EDUCAÇÃO
2020;2020-30310010111;MIDIAS EP - SENAI;GESTÃO DA EDUCAÇÃO
2020;2020-30310010112;REFORMA DA UNIDADE DE CORUMBA;GESTÃO DA EDUCAÇÃO
2020;2020-30310010113;ACOES REGIONAIS - EDUCACAO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010116;GESTAO DAS ACOES DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010118;AMPLIACAO ESTACIONAMENTO FATEC CG;GESTÃO DA EDUCAÇÃO
2020;2020-30310010119;REDE DE BIBLIOTECAS;GESTÃO DA EDUCAÇÃO
2020;2020-30310010120;EDUCACAO BASICA;GESTÃO DA EDUCAÇÃO
2020;2020-30310010121;EDUCACAO CONTINUADA;GESTÃO DA EDUCAÇÃO
2020;2020-30310010127;REFORMA NA UNIDADE SESI EM DOURADOS MS;GESTÃO DA EDUCAÇÃO
2020;2020-30310010128;ASSESSORIA DE ENSINO SUPERIOR;GESTÃO DA EDUCAÇÃO
2020;2020-30310010129;EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2020;2020-30310010130;GERENCIA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010131;ASSESSORIA DE EDUCACAO A DISTANCIA;GESTÃO DA EDUCAÇÃO
2020;2020-30310010132;GERENCIA DE STARTUP;GESTÃO DA EDUCAÇÃO
2020;2020-30310010133;PRODUTOS EDUCACAO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010134;MELHORIA DO AMBIENTE DE TRABALHO;GESTÃO DA EDUCAÇÃO
2020;2020-30310010135;PROJETO DE MODERNIZACAO 4.0 TRES LAGOAS;GESTÃO DA EDUCAÇÃO
2020;2020-30310010141;PLANO DE MODERNIZACAO TECNOL 2018-2021;GESTÃO DA EDUCAÇÃO
2020;2020-30310010150;PLANO DE CONTINGENCIA CONTRA CRISE 2020;GESTÃO DA EDUCAÇÃO
2020;2020-30310010151;INSTALACAO DE USINAS FOTOVOLTAICAS;GESTÃO DA EDUCAÇÃO
2020;2020-30310010152;NOVO ACESSO ESCOLA REFORMA;GESTÃO DA EDUCAÇÃO
2020;2020-30310010190;ACOES ESTRATEGICAS EDUCACAO;GESTÃO DA EDUCAÇÃO
2021;2021-30310010102;ASSES POL EDUCACIONAIS E NORMATIZACAO;GESTÃO DA EDUCAÇÃO
2021;2021-30310010104;NUCLEO DE ACOES MOVEIS;GESTÃO DA EDUCAÇÃO
2021;2021-30310010105;EVENTOS ESCOLARES;GESTÃO DA EDUCAÇÃO
2021;2021-30310010106;STARTUP SESI;GESTÃO DA EDUCAÇÃO
2021;2021-30310010107;GESTAO ADMINISTRATIVA OPERACIONAL;GESTÃO DA EDUCAÇÃO
2021;2021-30310010108;GESTAO DA EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2021;2021-30310010109;PROJETO GERACAO FOTOVOLTAICA;GESTÃO DA EDUCAÇÃO
2021;2021-30310010111;MIDIAS EP - SENAI;GESTÃO DA EDUCAÇÃO
2021;2021-30310010113;ACOES REGIONAIS - EDUCACAO;GESTÃO DA EDUCAÇÃO
2021;2021-30310010116;GESTAO DAS ACOES DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2021;2021-30310010119;REDE DE BIBLIOTECAS;GESTÃO DA EDUCAÇÃO
2021;2021-30310010120;EDUCACAO BASICA;GESTÃO DA EDUCAÇÃO
2021;2021-30310010121;EDUCACAO CONTINUADA;GESTÃO DA EDUCAÇÃO
2021;2021-30310010127;REFORMA NA UNIDADE SESI EM DOURADOS MS;GESTÃO DA EDUCAÇÃO
2021;2021-30310010128;ASSESSORIA DE ENSINO SUPERIOR;GESTÃO DA EDUCAÇÃO
2021;2021-30310010129;EDUCACAO PROFISSIONAL;GESTÃO DA EDUCAÇÃO
2021;2021-30310010130;GERENCIA DE EDUCACAO;GESTÃO DA EDUCAÇÃO
2021;2021-30310010131;ASSESSORIA DE EDUCACAO A DISTANCIA;GESTÃO DA EDUCAÇÃO
2021;2021-30310010132;GERENCIA DE STARTUP;GESTÃO DA EDUCAÇÃO
2021;2021-30310010134;MELHORIA DO AMBIENTE DE TRABALHO;GESTÃO DA EDUCAÇÃO
2021;2021-30310010135;PROJETO MODERNIZACAO 4.0 TRES LAGOAS;GESTÃO DA EDUCAÇÃO
2021;2021-30310010141;PLANO DE MODERNIZACAO TECNOL 2018-2021;GESTÃO DA EDUCAÇÃO
2021;2021-30310010150;PLANO DE CONTINGENCIA CONTRA CRISE 2020;GESTÃO DA EDUCAÇÃO
2021;2021-30310010151;NOVA ESCOLA DO SESI CAMPO GRANDE;GESTÃO DA EDUCAÇÃO
2021;2021-30310010152;MODERNIZACAO DAS ESCOLAS DO SESI;GESTÃO DA EDUCAÇÃO
2017;2017-30303010101;INICIACAO PROFISSIONAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303010201;INICIACAO PROFISSIONAL EAD;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020101;APRENDIZAGEM INDUSTRIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020201;QUALIFICACAO PROFISSIONAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020301;APRENDIZAGEM INDUSTRIAL BASICA EAD;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020401;QUALIFICACAO PROFISSIONAL EAD;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020501;APERFEICOAMENTO PROFISSIONAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020502;APERFEICOAMENTO INDIRETO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020601;APERFEICOAMENTO PROFISSIONAL EAD;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303020701;ESPECIALIZACAO PROFISSIONAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303030101;APERF PROFIS_2013;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303040101;APRENDIZAGEM INDUSTRIAL TECNICA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303040201;HABILITACAO TECNICA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303040299;HABILITAÇÃO TÉCNICA EAD_2013;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303040301;APRENDIZAGEM INDUSTRIAL TECNICA EAD;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2017;2017-30303040401;HABILITACAO TECNICA EAD;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303010101;INICIAÇÃO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303010201;INICIAÇÃO PROFISSIONAL À DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020101;APRENDIZAGEM INDUSTRIAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020102;REVITALIZACAO SALAS DE AULAS MOVEIS E AL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020190;AÇOES ESTRATEGICAS APRENDIZAGEM;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020201;QUALIFICAÇÃO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020301;APRENDIZAGEM INDUSTRIAL A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020401;QUALIFICAÇÃO PROFISSIONAL A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020501;APERFEIÇOAMENTO PROFISS. PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020502;APERFEICOAMENTO INDIRETO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020503;ESPECIALIZAÇÃO PROFISS. PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020504; APERFEIÇOAMENTO/ ESPECIALIZAÇÃO PROFISS;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303020601;APERFEIÇOAMENTO PROFISS. A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303040101;APRENDIZAGEM INDUSTRIAL TÉCNICA DE NÍVEL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303040190;AÇOES ESTRATEGICAS APRENDIZAGEM TECNICA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303040201;TÉCNICO DE NÍVEL MÉDIO PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2018;2018-30303040401;TÉCNICO DE NÍVEL MÉDIO A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303010101;INICIACAO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303010102;CONV. PROJ. CAPACITAÇÃO BROOKFIELD INIC;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303010201;INICIACAO PROFISSIONAL À DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020101;APRENDIZAGEM INDUSTRIAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020102;REVITALIZACAO SALAS DE AULAS MOVEIS AL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020201;QUALIFICACAO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020202;CONV. PROJ. CAPACITAÇÃO BROOKFIELD QUALI;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020301;APRENDIZAGEM INDUSTRIAL A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020401;QUALIFICACAO PROFISSIONAL A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020501;APERFEICOAMENTO PROFISS PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020502;APERFEICOAMENTO INDIRETO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020503;ESPECIALIZACAO PROFISS PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303020601;APERFEICOAMENTO PROFISS A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303040101;APRENDIZAGEM INDUSTRIAL TECNICA DE NIVEL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303040201;TECNICO DE NIVEL MEDIO PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303040401;TECNICO DE NIVEL MEDIO A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2019;2019-30303040501;TECNICO ITINERARIO ENSINO MEDIO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303010101;INICIACAO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303010102;CONV. PROJ. CAPACITAÇÃO BROOKFIELD INIC;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303010201;INICIACAO PROFISSIONAL À DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020101;APRENDIZAGEM INDUSTRIAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020102;REVITALIZACAO SALAS DE AULAS MOVEIS AL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020103;PLANO DE MODERNIZACAO TECNOL 2018-2021;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020104;PROJ REFORMA ADEQUACAO ACESSIBILIDADE;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020105;AMPLIACAO ESTACIONAMENTO FATEC CG;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020106;PLANO DE CONTINGÊNCIA CONTRA CRISE 2020;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020199;GESTAO JUROS AMORTIZACOES BNDES;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020201;QUALIFICACAO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020202;CONV. PROJ. CAPACITAÇÃO BROOKFIELD QUALI;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020301;APRENDIZAGEM INDUSTRIAL A DISTANCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020401;QUALIFICACAO PROFISSIONAL A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020501;APERFEICOAMENTO PROFISS PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020502;APERFEICOAMENTO INDIRETO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020503;ESPECIALIZACAO PROFISS PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303020601;APERFEICOAMENTO PROFISS A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303040101;APRENDIZAGEM INDUSTRIAL TECNICA DE NIVEL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303040201;TECNICO DE NIVEL MEDIO PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303040401;TECNICO DE NIVEL MEDIO A DISTÂNCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2020;2020-30303040501;TECNICO ITINERARIO ENSINO MEDIO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303010101;INICIACAO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303010201;INICIACAO PROFISSIONAL A DISTANCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020101;APRENDIZAGEM INDUSTRIAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020102;REVITALIZACAO SALAS DE AULAS MOVEIS AL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020103;PLANO DE MODERNIZACAO TECNOL 2018-2021;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020107;COMPETICAO DE CARRO ELETRICO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020108;PLANO DE MODERNIZACAO 2021-2023;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020190;ACOES ESTRATEGICAS APRENDIZAGEM;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020199;GESTAO JUROS AMORTIZACOES BNDES;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020201;QUALIFICACAO PROFISSIONAL PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020301;APRENDIZAGEM INDUSTRIAL A DISTANCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020401;QUALIFICACAO PROFISSIONAL A DISTANCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020501;APERFEICOAMENTO PROFISS PRESENCIAL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020502;APERFEICOAMENTO INDIRETO;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303020601;APERFEICOAMENTO PROFISS A DISTANCIA;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
2021;2021-30303040101;APRENDIZAGEM INDUSTRIAL TECNICA DE NIVEL;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA
